# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
3.439460e+04,1.718142e-02,1.372584e-04,-2.382072e-01,4.041700e-03
3.511696e+04,1.732508e-02,3.549607e-04,-2.384144e-01,3.439002e-03
3.585449e+04,1.738267e-02,5.218957e-04,-2.385589e-01,2.854403e-03
3.660751e+04,1.779616e-02,6.073060e-05,-2.381301e-01,1.920358e-03
3.737634e+04,1.793355e-02,5.202465e-05,-2.383590e-01,4.797175e-03
3.816133e+04,1.800027e-02,2.549676e-04,-2.377576e-01,4.817801e-03
3.896280e+04,1.829642e-02,6.034958e-05,-2.368517e-01,2.015052e-03
3.978110e+04,1.834819e-02,3.604865e-04,-2.357114e-01,3.609990e-03
4.061659e+04,1.825672e-02,1.030510e-03,-2.346762e-01,5.979474e-03
4.146962e+04,1.869677e-02,3.429403e-04,-2.336028e-01,4.381453e-03
4.234058e+04,1.851547e-02,1.248930e-03,-2.325002e-01,8.651591e-03
4.322982e+04,1.899337e-02,6.998792e-05,-2.282799e-01,3.558724e-03
4.413774e+04,1.922840e-02,3.568927e-05,-2.275467e-01,1.328109e-03
4.506473e+04,1.904087e-02,1.014320e-03,-2.264422e-01,6.653372e-03
4.601118e+04,1.945741e-02,3.652856e-05,-2.229941e-01,1.835342e-03
4.697751e+04,1.908371e-02,1.489788e-03,-2.213662e-01,4.361781e-03
4.796414e+04,1.948095e-02,6.293116e-04,-2.182264e-01,2.640257e-03
4.897149e+04,1.979053e-02,3.687697e-05,-2.153052e-01,2.964170e-03
5.000000e+04,1.996691e-02,2.573051e-05,-2.135764e-01,1.573516e-03
